fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_14_CHI_GB,1,GB,CHI,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.749613732,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,GB 35,NA,14
1,Punt,1,Punt,0,35,0,0,0,2025_14_CHI_GB,39,GB,CHI,0,0,0,NA,0.770222367,0.123363373,1,NA,NA,NA,CHI,NA,1,15:00,17-B.McManus kicks 61 yards from GB 35 to CHI 4. 12-D.Duvernay to CHI 28 for 24 yards (58-I.McDuffie).,0,900,3600,0.749613732,-0.001207739,0.566792041,kickoff,NA,NA,0,NA,NA,0,0.123363373,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,24,GB 35,0,14
1,Punt,1,Punt,0,72,0,0,0,2025_14_CHI_GB,62,GB,CHI,1,0,0,D.Swift,0.89358574,0.147849259,1,NA,D.Swift,NA,CHI,1,1,14:56,(14:56) (Shotgun) 4-D.Swift up the middle to CHI 33 for 5 yards (52-R.Gary).,10,896,3596,0.748405993,-6.15E-05,0.564715147,run,NA,NA,0,NA,NA,5,0.147849259,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,0,CHI 28,0,14
1,Punt,1,Punt,0,67,0,0,0,2025_14_CHI_GB,84,GB,CHI,0,1,0,C.Williams,1.041434999,-0.86485788,0,C.Williams,NA,L.Burden,CHI,2,1,14:22,(14:22) 18-C.Williams pass incomplete short left to 10-L.Burden.,5,862,3562,0.748344481,0.001889482,0.57320568,pass,0.637282372,-63.72823715,0,10,left,0,-0.86485788,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,0,CHI 33,0,14
1,Punt,1,Punt,0,67,0,0,0,2025_14_CHI_GB,107,GB,CHI,0,1,0,C.Williams,0.176577119,-1.433480392,0,C.Williams,NA,NA,CHI,3,1,14:19,"(14:19) (Shotgun) 18-C.Williams scrambles right tackle to CHI 39 for 6 yards (25-K.Nixon). PENALTY on CHI-58-D.Wright, Offensive Holding, 10 yards, enforced at CHI 33 - No Play.",5,859,3559,0.750233963,0.042336047,0.590407372,no_play,NA,NA,0,NA,NA,0,-1.433480392,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,0,CHI 33,1,14
1,Punt,1,Punt,0,77,0,0,0,2025_14_CHI_GB,141,GB,CHI,0,1,0,C.Williams,-1.256903273,-1.043933539,0,C.Williams,NA,D.Moore,CHI,3,1,13:58,(13:58) (Shotgun) 18-C.Williams pass incomplete deep middle to 2-D.Moore.,15,838,3538,0.79257001,0.039223492,0.620242894,pass,0.353370428,-35.33704281,0,32,middle,0,-1.043933539,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,0,CHI 23,0,14
1,Punt,1,Punt,0,77,0,0,0,2025_14_CHI_GB,164,GB,CHI,0,0,0,NA,-2.300836812,1.872294772,1,NA,NA,NA,CHI,4,1,13:53,"(13:53) 19-T.Taylor punts 63 yards to GB 14, Center-46-S.Daly. 87-R.Doubs to GB 31 for 17 yards (44-N.Sewell). PENALTY on GB-16-B.Melton, Illegal Block Above the Waist, 10 yards, enforced at GB 21.",15,833,3533,0.831793502,-0.072123185,0.656314433,punt,NA,NA,0,NA,NA,0,1.872294772,0,0,0,3,3,CHI 28,CHI 23,KICKOFF,PUNT,1:18,3,Half1,7,CHI 23,1,14
2,Turnover,2,First down,1,89,0,0,0,2025_14_CHI_GB,201,GB,CHI,0,1,0,J.Love,0.428542039,0.056295239,1,J.Love,NA,J.Reed,GB,1,1,13:42,(13:42) 10-J.Love pass short left to 11-J.Reed pushed ob at GB 16 for 5 yards (31-K.Byard).,10,822,3522,0.759670317,-0.012875795,0.598094702,pass,0.769717693,23.02823067,1,5,left,5,0.056295239,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 11,0,14
2,Turnover,2,First down,1,84,0,0,0,2025_14_CHI_GB,231,GB,CHI,1,0,1,J.Jacobs,0.484837279,0.995635587,1,NA,J.Jacobs,NA,GB,2,1,13:06,(13:06) 8-J.Jacobs right tackle to GB 26 for 10 yards (1-J.Johnson; 35-C.Gardner-Johnson).,5,786,3486,0.746794522,0.018689036,0.598817825,run,NA,NA,0,NA,NA,10,0.995635587,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 16,0,14
2,Turnover,3,First down,1,74,0,0,0,2025_14_CHI_GB,253,GB,CHI,1,0,0,J.Jacobs,1.480472866,-0.585628311,0,NA,J.Jacobs,NA,GB,1,1,12:24,(12:24) 8-J.Jacobs right guard to GB 26 for no gain (94-A.Booker).,10,744,3444,0.765483558,-0.019599795,0.612697124,run,NA,NA,0,NA,NA,0,-0.585628311,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 26,0,14
2,Turnover,3,First down,1,74,0,0,0,2025_14_CHI_GB,275,GB,CHI,0,1,1,J.Love,0.894844555,1.322415465,1,J.Love,NA,L.Musgrave,GB,2,1,11:45,(11:45) (Shotgun) 10-J.Love pass short right to 88-L.Musgrave to GB 36 for 10 yards (35-C.Gardner-Johnson).,10,705,3405,0.745883763,0.01741612,0.597714305,pass,0.598840177,40.11598229,1,10,right,10,1.322415465,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 26,0,14
2,Turnover,4,First down,1,64,0,0,0,2025_14_CHI_GB,300,GB,CHI,1,0,0,J.Reed,2.21726002,0.304183434,1,NA,J.Reed,NA,GB,1,1,11:08,(11:08) 11-J.Reed left end pushed ob at GB 43 for 7 yards (35-C.Gardner-Johnson).,10,668,3368,0.763299882,0.005962789,0.640445173,run,NA,NA,0,NA,NA,7,0.304183434,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 36,0,14
2,Turnover,4,First down,1,57,0,0,0,2025_14_CHI_GB,327,GB,CHI,1,0,0,J.Jacobs,2.521443454,-0.189534385,0,NA,J.Jacobs,NA,GB,2,1,10:25,(10:25) 70-D.Kinnard reported in as eligible. 8-J.Jacobs right tackle to GB 45 for 2 yards (50-G.Jarrett).,3,625,3325,0.769262671,-0.007765949,0.6501562,run,NA,NA,0,NA,NA,2,-0.189534385,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 43,0,14
2,Turnover,4,First down,1,55,0,0,0,2025_14_CHI_GB,351,GB,CHI,0,1,1,J.Love,2.33190907,0.526527239,1,J.Love,NA,J.Reed,GB,3,1,9:47,(9:47) 10-J.Love pass short left to 11-J.Reed ran ob at GB 47 for 2 yards (35-C.Gardner-Johnson).,1,587,3287,0.761496723,-0.005022049,0.630100548,pass,0.778867066,22.11329341,1,2,left,2,0.526527239,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 45,0,14
2,Turnover,5,First down,1,53,0,0,0,2025_14_CHI_GB,381,GB,CHI,0,1,0,J.Love,2.858436308,0.212093488,1,J.Love,NA,C.Watson,GB,1,1,9:02,(9:02) (Shotgun) 10-J.Love pass short right to 9-C.Watson to CHI 47 for 6 yards (1-J.Johnson).,10,542,3242,0.756474674,0.022086024,0.647396624,pass,0.765718102,23.42818975,1,5,right,6,0.212093488,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,GB 47,0,14
2,Turnover,5,First down,1,47,0,0,0,2025_14_CHI_GB,406,GB,CHI,1,0,0,J.Jacobs,3.070529796,-0.717367033,0,NA,J.Jacobs,NA,GB,2,1,8:21,(8:21) (Shotgun) 8-J.Jacobs left guard to CHI 46 for 1 yard (35-C.Gardner-Johnson; 26-N.Wright).,4,501,3201,0.778560698,-0.013517559,0.644526899,run,NA,NA,0,NA,NA,1,-0.717367033,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,CHI 47,0,14
2,Turnover,5,First down,1,46,0,0,0,2025_14_CHI_GB,428,GB,CHI,1,0,1,J.Jacobs,2.353162762,0.959775691,1,NA,J.Jacobs,NA,GB,3,1,7:43,(7:43) (Shotgun) 8-J.Jacobs left end pushed ob at CHI 43 for 3 yards (9-J.Brisker).,3,463,3163,0.765043139,0.042128682,0.632664084,run,NA,NA,0,NA,NA,3,0.959775691,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,CHI 46,0,14
2,Turnover,6,Turnover,0,43,0,0,0,2025_14_CHI_GB,455,GB,CHI,1,0,0,E.Wilson,3.312938454,0.071510769,1,NA,E.Wilson,NA,GB,1,1,7:03,(7:03) 23-E.Wilson left tackle to CHI 38 for 5 yards (48-D.Jackson).,10,423,3123,0.807171822,0.006543398,0.654847145,run,NA,NA,0,NA,NA,5,0.071510769,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,CHI 43,0,14
2,Turnover,6,Turnover,0,38,0,0,0,2025_14_CHI_GB,477,GB,CHI,0,1,0,J.Love,3.384449223,-2.390025544,0,J.Love,NA,NA,GB,2,1,6:40,(6:40) (No Huddle) 10-J.Love sacked at GB 48 for -14 yards (98-M.Sweat).,5,400,3100,0.813715219,-0.053715944,0.69038558,pass,NA,NA,0,NA,NA,-14,-2.390025544,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,0,CHI 38,0,14
2,Turnover,6,Turnover,0,52,0,0,1,2025_14_CHI_GB,497,GB,CHI,0,1,0,J.Love,0.994423679,-4.469754676,0,J.Love,NA,M.Golden,GB,3,1,5:56,(5:56) (Shotgun) 10-J.Love pass deep middle intended for 0-M.Golden INTERCEPTED by 35-C.Gardner-Johnson at CHI 36. 35-C.Gardner-Johnson ran ob at GB 36 for 28 yards (50-Z.Tom).,19,356,3056,0.759999275,-0.1199058,0.605073988,pass,0.636706173,-63.67061734,0,16,middle,0,-4.469754676,0,0,0,3,3,GB 11,GB 48,PUNT,INTERCEPTION,7:55,13,Half1,28,GB 48,0,14
3,Punt,7,Punt,0,36,0,0,0,2025_14_CHI_GB,529,GB,CHI,0,1,0,C.Williams,3.475330997,-0.535151557,0,C.Williams,NA,C.Loveland,CHI,1,1,5:47,"(5:47) 18-C.Williams pass deep left to 84-C.Loveland to GB 19 for 17 yards (33-E.Williams). FUMBLES (33-E.Williams), and recovers at GB 16. Green Bay challenged the pass completion ruling, and the play was REVERSED. 18-C.Williams pass incomplete deep left to 84-C.Loveland (33-E.Williams).",10,347,3047,0.640093476,0.018603802,0.461027265,pass,0.561828852,-56.18288517,0,16,left,0,-0.535151557,0,0,0,3,3,GB 36,GB 41,INTERCEPTION,PUNT,0:23,3,Half1,0,GB 36,0,14
3,Punt,7,Punt,0,36,0,0,0,2025_14_CHI_GB,620,GB,CHI,0,0,0,NA,2.940179441,-0.746712672,0,NA,NA,NA,CHI,2,1,5:42,"(5:42) PENALTY on CHI-84-C.Loveland, False Start, 5 yards, enforced at GB 36 - No Play.",10,342,3042,0.658697277,0.022867739,0.476523757,no_play,NA,NA,0,NA,NA,0,-0.746712672,0,0,0,3,3,GB 36,GB 41,INTERCEPTION,PUNT,0:23,3,Half1,0,GB 36,1,14
3,Punt,7,Punt,0,41,0,0,0,2025_14_CHI_GB,650,GB,CHI,0,1,0,C.Williams,2.193466769,-1.04734951,0,C.Williams,NA,K.Monangai,CHI,2,1,5:42,(5:42) (Shotgun) 18-C.Williams pass incomplete short right to 25-K.Monangai.,15,342,3042,0.681565017,0.020362586,0.520294845,pass,0.776374161,-77.63741612,0,4,right,0,-1.04734951,0,0,0,3,3,GB 36,GB 41,INTERCEPTION,PUNT,0:23,3,Half1,0,GB 41,0,14
