fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Opp touchdown,1,Opp touchdown,0,NA,NA,NA,NA,2025_17_CHI_SF,1,SF,CHI,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.614067256,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,17
1,Opp touchdown,1,Opp touchdown,0,35,0,0,0,2025_17_CHI_SF,39,SF,CHI,0,0,0,NA,1.474097768,-0.29502809,0,NA,NA,NA,SF,NA,1,15:00,8-C.Santos kicks 66 yards from CHI 35 to SF -1. 9-S.Moore to SF 24 for 25 yards (93-J.Tryon).,0,900,3600,0.614067256,0.007113814,0.546261787,kickoff,NA,NA,0,NA,NA,0,-0.29502809,0,0,0,3,3,SF 24,SF 24,KICKOFF,INTERCEPTION,0:15,1,Half1,25,CHI 35,0,17
1,Opp touchdown,1,Opp touchdown,0,76,1,0,1,2025_17_CHI_SF,62,SF,CHI,0,1,0,B.Purdy,1.179069677,-8.179069677,0,B.Purdy,NA,J.Jennings,SF,1,1,14:54,"(14:54) (Shotgun) 13-B.Purdy pass short right intended for 15-J.Jennings INTERCEPTED by 53-T.Edwards (1-J.Johnson) at SF 34. 53-T.Edwards for 34 yards, TOUCHDOWN.",10,894,3594,0.621181071,-0.192178796,0.546261787,pass,0.6114254,-61.14253998,0,10,right,0,-8.179069677,0,6,0,3,3,SF 24,SF 24,KICKOFF,INTERCEPTION,0:15,1,Half1,34,SF 24,0,17
1,Opp touchdown,1,Opp touchdown,0,15,0,0,0,2025_17_CHI_SF,95,SF,CHI,0,0,0,NA,0.932426997,0.067573003,1,NA,NA,NA,CHI,NA,1,14:45,"8-C.Santos extra point is GOOD, Center-46-S.Daly, Holder-19-T.Taylor.",0,885,3585,0.429002275,-0.000627597,0.327197426,extra_point,NA,NA,0,NA,NA,0,0.067573003,0,7,6,3,3,NA,NA,NA,NA,NA,NA,Half1,0,SF 15,0,17
2,Touchdown,2,First down,1,35,0,0,0,2025_17_CHI_SF,110,SF,CHI,0,0,0,NA,1.493432273,0.58059148,1,NA,NA,NA,SF,NA,1,14:45,"8-C.Santos kicks 65 yards from CHI 35 to end zone, Touchback to the SF 35.",0,885,3585,0.428374678,0.018754661,0.326006472,kickoff,NA,NA,0,NA,NA,0,0.58059148,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 35,0,17
2,Touchdown,2,First down,1,65,0,0,0,2025_17_CHI_SF,127,SF,CHI,0,1,0,B.Purdy,2.074023753,-0.556161278,0,B.Purdy,NA,R.Pearsall,SF,1,1,14:45,(14:45) 13-B.Purdy pass incomplete short right to 1-R.Pearsall.,10,885,3585,0.447129339,-0.015339732,0.34417522,pass,0.6005404,-60.05403996,0,15,right,0,-0.556161278,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,SF 35,0,17
2,Touchdown,2,First down,1,65,0,0,0,2025_17_CHI_SF,150,SF,CHI,1,0,0,C.McCaffrey,1.517862475,-0.484834823,0,NA,C.McCaffrey,NA,SF,2,1,14:40,(14:40) 23-C.McCaffrey right end to SF 38 for 3 yards (35-C.Gardner-Johnson; 53-T.Edwards).,10,880,3580,0.431789607,-0.020024538,0.326764435,run,NA,NA,0,NA,NA,3,-0.484834823,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,SF 35,0,17
2,Touchdown,2,First down,1,62,0,0,0,2025_17_CHI_SF,172,SF,CHI,0,1,1,B.Purdy,1.033027653,2.379408997,1,B.Purdy,NA,J.Tonges,SF,3,1,14:02,(14:02) (Shotgun) 13-B.Purdy pass short middle to 88-J.Tonges to CHI 44 for 18 yards (49-T.Edmunds).,7,842,3542,0.411765069,0.050471395,0.31368646,pass,0.64799571,35.20042896,1,14,middle,18,2.379408997,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,SF 38,0,17
2,Touchdown,3,First down,1,44,0,0,0,2025_17_CHI_SF,197,SF,CHI,1,0,0,C.McCaffrey,3.41243665,0.708186523,1,NA,C.McCaffrey,NA,SF,1,1,13:28,(13:28) 23-C.McCaffrey right tackle to CHI 35 for 9 yards (53-T.Edwards).,10,808,3508,0.462236464,0.034896523,0.365554839,run,NA,NA,0,NA,NA,9,0.708186523,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 44,0,17
2,Touchdown,3,First down,1,35,0,0,0,2025_17_CHI_SF,219,SF,CHI,1,0,1,C.McCaffrey,4.120623173,-0.158044215,0,NA,C.McCaffrey,NA,SF,2,1,12:47,(12:47) 23-C.McCaffrey left guard to CHI 34 for 1 yard (50-G.Jarrett; 99-G.Dexter).,1,767,3467,0.497132987,-0.039787352,0.402053714,run,NA,NA,0,NA,NA,1,-0.158044215,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 35,0,17
2,Touchdown,4,First down,1,34,0,0,0,2025_17_CHI_SF,241,SF,CHI,0,1,0,B.Purdy,3.962578959,-0.508434925,0,B.Purdy,NA,C.McCaffrey,SF,1,1,12:04,(12:04) 13-B.Purdy pass incomplete short middle to 23-C.McCaffrey (94-A.Booker).,10,724,3424,0.457345635,-0.020290405,0.381803036,pass,0.818660855,-81.86608553,0,-1,middle,0,-0.508434925,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 34,0,17
2,Touchdown,4,First down,1,34,0,0,0,2025_17_CHI_SF,264,SF,CHI,0,1,0,B.Purdy,3.454144033,0.438105367,1,B.Purdy,NA,J.Tonges,SF,2,1,11:59,(11:59) (Shotgun) 13-B.Purdy pass short right to 88-J.Tonges to CHI 26 for 8 yards (49-T.Edmunds).,10,719,3419,0.43705523,0.029526412,0.366117686,pass,0.756304264,24.36957359,1,5,right,8,0.438105367,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 34,0,17
2,Touchdown,4,First down,1,26,0,0,0,2025_17_CHI_SF,289,SF,CHI,0,1,1,B.Purdy,3.892249401,2.636983953,1,B.Purdy,NA,D.Robinson,SF,3,1,11:20,"(11:20) 13-B.Purdy pass deep middle to 5-D.Robinson to CHI 1 for 25 yards (26-N.Wright). Penalty on CHI-1-J.Johnson, Defensive Holding, declined.",2,680,3380,0.466581643,0.083726346,0.395665526,pass,0.437682182,56.23178184,1,24,middle,25,2.636983953,0,7,-7,3,3,SF 35,CHI 1,KICKOFF,TOUCHDOWN,3:48,9,Half1,0,CHI 26,0,17
