fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Touchdown,1,First down,1,NA,NA,NA,NA,2025_02_CHI_DET,1,DET,CHI,0,0,0,NA,1.841283984,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.705750823,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,2
1,Touchdown,1,First down,1,35,0,0,0,2025_02_CHI_DET,40,DET,CHI,0,0,0,NA,1.841283984,0.833444371,1,NA,NA,NA,DET,NA,1,15:00,"8-C.Santos kicks 61 yards from CHI 35 to DET 4, out of bounds. PENALTY on CHI-8-C.Santos, Kickoff Out of Bounds, placed at DET 40.",0,900,3600,0.705750823,0.028591394,0.546261787,kickoff,NA,NA,0,NA,NA,0,0.833444371,0,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 35,1,2
1,Touchdown,1,First down,1,60,0,0,0,2025_02_CHI_DET,67,DET,CHI,0,1,1,J.Goff,2.674728355,2.049888342,1,J.Goff,NA,A.St. Brown,DET,1,1,15:00,(15:00) 16-J.Goff pass short middle to 14-A.St. Brown to CHI 26 for 34 yards (29-T.Stevenson).,10,900,3600,0.734342217,0.018374383,0.572573364,pass,0.751099885,24.89001155,1,14,middle,34,2.049888342,0,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,DET 40,0,2
1,Touchdown,2,First down,1,26,0,0,0,2025_02_CHI_DET,92,DET,CHI,0,1,0,J.Goff,4.724616697,0.652987175,1,J.Goff,NA,S.LaPorta,DET,1,1,14:15,"(14:15) (Shotgun) 16-J.Goff pass short right to 87-S.LaPorta to CHI 17 for 9 yards (1-J.Johnson, 53-T.Edwards).",10,855,3555,0.752716601,0.053329647,0.650262237,pass,0.747359753,25.26402473,1,0,right,9,0.652987175,0,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 26,0,2
1,Touchdown,2,First down,1,17,0,0,0,2025_02_CHI_DET,117,DET,CHI,1,0,1,J.Gibbs,5.377603872,0.097529378,1,NA,J.Gibbs,NA,DET,2,1,13:38,(13:38) 0-J.Gibbs left tackle to CHI 11 for 6 yards (53-T.Edwards; 9-J.Brisker).,1,818,3518,0.806046247,-0.030515134,0.673446655,run,NA,NA,0,NA,NA,6,0.097529378,0,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 17,0,2
1,Touchdown,3,Touchdown,1,11,0,0,0,2025_02_CHI_DET,139,DET,CHI,1,0,0,J.Gibbs,5.47513325,0.104797565,1,NA,J.Gibbs,NA,DET,1,1,12:58,(12:58) 0-J.Gibbs up the middle to CHI 6 for 5 yards (29-T.Stevenson; 53-T.Edwards).,10,778,3478,0.775531113,0.00214839,0.673911452,run,NA,NA,0,NA,NA,5,0.104797565,0,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 11,0,2
1,Touchdown,3,Touchdown,1,6,1,0,0,2025_02_CHI_DET,161,DET,CHI,1,0,1,J.Gibbs,5.579930815,1.420069185,1,NA,J.Gibbs,NA,DET,2,1,12:17,"(12:17) 0-J.Gibbs left end for 6 yards, TOUCHDOWN.",5,737,3437,0.777679503,0.045435205,0.672153354,run,NA,NA,0,NA,NA,6,1.420069185,6,0,0,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 6,0,2
1,Touchdown,3,Touchdown,1,15,0,0,0,2025_02_CHI_DET,184,DET,CHI,0,0,0,NA,0.948828434,0.051171566,1,NA,NA,NA,DET,NA,1,12:13,"39-J.Bates extra point is GOOD, Center-49-H.Hatten, Holder-3-J.Fox.",0,733,3433,0.823114708,0.001060129,0.697947664,extra_point,NA,NA,0,NA,NA,0,0.051171566,7,0,6,3,3,DET 40,CHI 6,KICKOFF,TOUCHDOWN,2:47,5,Half1,0,CHI 15,0,2
2,Touchdown,4,First down,1,35,0,0,0,2025_02_CHI_DET,199,DET,CHI,0,0,0,NA,1.108775436,0.050879824,1,NA,NA,NA,CHI,NA,1,12:13,39-J.Bates kicks 65 yards from DET 35 to CHI 0. 12-D.Duvernay to CHI 26 for 26 yards (95-P.O'Connor; 45-M.Rice).,0,733,3433,0.824174836,-0.000797242,0.699295461,kickoff,NA,NA,0,NA,NA,0,0.050879824,7,0,-7,3,3,CHI 26,DET 28,KICKOFF,TOUCHDOWN,3:43,8,Half1,26,DET 35,0,2
2,Touchdown,4,First down,1,74,0,0,0,2025_02_CHI_DET,232,DET,CHI,1,0,0,D.Swift,1.15965526,-0.034926333,0,NA,D.Swift,NA,CHI,1,1,12:06,(12:06) Direct snap to 4-D.Swift. 4-D.Swift left tackle to CHI 31 for 5 yards (4-D.Reed).,10,726,3426,0.823377594,0.001471415,0.699295461,run,NA,NA,0,NA,NA,5,-0.034926333,7,0,-7,3,3,CHI 26,DET 28,KICKOFF,TOUCHDOWN,3:43,8,Half1,0,CHI 26,0,2
2,Touchdown,4,First down,1,69,0,0,0,2025_02_CHI_DET,254,DET,CHI,0,1,0,C.Williams,1.124728926,-0.593025448,0,C.Williams,NA,D.Swift,CHI,2,1,11:43,(11:43) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to CHI 32 for 1 yard (46-J.Campbell).,5,703,3403,0.82484901,-0.008361027,0.702046126,pass,0.893388033,10.66119671,1,-2,right,1,-0.593025448,7,0,-7,3,3,CHI 26,DET 28,KICKOFF,TOUCHDOWN,3:43,8,Half1,0,CHI 31,0,2
