fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_03_DAL_CHI,1,CHI,DAL,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.456335992,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,DAL 35,NA,3
1,Punt,1,Punt,0,35,0,0,0,2025_03_DAL_CHI,40,CHI,DAL,0,0,0,NA,1.474097768,-0.549962547,0,NA,NA,NA,CHI,NA,1,15:00,17-B.Aubrey kicks 61 yards from DAL 35 to CHI 4. 10-L.Burden to CHI 19 for 15 yards (53-J.Houston).,0,900,3600,0.456335992,-0.008452743,0.546261787,kickoff,NA,NA,0,NA,NA,0,-0.549962547,0,0,0,3,3,CHI 19,CHI 17,KICKOFF,PUNT,1:47,3,Half1,15,DAL 35,0,3
1,Punt,1,Punt,0,81,0,0,0,2025_03_DAL_CHI,63,CHI,DAL,0,1,0,C.Williams,0.924135221,-0.609295364,0,C.Williams,NA,C.Loveland,CHI,1,1,14:54,(14:54) 18-C.Williams pass incomplete deep left to 84-C.Loveland.,10,894,3594,0.447883248,-0.02752921,0.541853309,pass,0.406714588,-40.67145884,0,26,left,0,-0.609295364,0,0,0,3,3,CHI 19,CHI 17,KICKOFF,PUNT,1:47,3,Half1,0,CHI 19,0,3
1,Punt,1,Punt,0,81,0,0,0,2025_03_DAL_CHI,86,CHI,DAL,1,0,0,D.Swift,0.314839857,-1.503817724,0,NA,D.Swift,NA,CHI,2,1,14:48,(14:48) 4-D.Swift right guard to CHI 15 for -4 yards (27-R.Steward).,10,888,3588,0.420354038,-0.058840483,0.528741002,run,NA,NA,0,NA,NA,-4,-1.503817724,0,0,0,3,3,CHI 19,CHI 17,KICKOFF,PUNT,1:47,3,Half1,0,CHI 19,0,3
1,Punt,1,Punt,0,85,0,0,0,2025_03_DAL_CHI,108,CHI,DAL,0,1,0,C.Williams,-1.188977866,-0.844760296,0,C.Williams,NA,D.Swift,CHI,3,1,14:08,(14:08) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to CHI 17 for 2 yards (59-K.Murray; 6-D.Wilson).,14,848,3548,0.361513555,-0.014543414,0.485365331,pass,0.850235522,14.97644782,1,-7,right,2,-0.844760296,0,0,0,3,3,CHI 19,CHI 17,KICKOFF,PUNT,1:47,3,Half1,0,CHI 15,0,3
1,Punt,1,Punt,0,83,0,0,0,2025_03_DAL_CHI,133,CHI,DAL,0,0,0,NA,-2.033738163,-0.045416814,0,NA,NA,NA,CHI,4,1,13:26,"(13:26) 19-T.Taylor punts 49 yards to DAL 34, Center-46-S.Daly. 9-K.Turpin to DAL 43 for 9 yards (23-R.Johnson).",12,806,3506,0.346970141,-0.001180053,0.454311222,punt,NA,NA,0,NA,NA,0,-0.045416814,0,0,0,3,3,CHI 19,CHI 17,KICKOFF,PUNT,1:47,3,Half1,9,CHI 17,0,3
2,Turnover,2,Turnover,0,57,0,0,0,2025_03_DAL_CHI,159,CHI,DAL,1,0,0,J.Williams,2.079154977,0.41824395,1,NA,J.Williams,NA,DAL,1,1,13:13,(13:13) (Shotgun) 33-J.Williams left tackle to 50 for 7 yards (44-N.Sewell; 9-J.Brisker).,10,793,3493,0.345790088,0.011716664,0.470007002,run,NA,NA,0,NA,NA,7,0.41824395,0,0,0,3,3,DAL 43,50,PUNT,FUMBLE,0:42,2,Half1,0,DAL 43,0,3
2,Turnover,2,Turnover,0,50,0,1,0,2025_03_DAL_CHI,181,CHI,DAL,1,0,0,J.Williams,2.497398927,-3.639848343,0,NA,J.Williams,NA,DAL,2,1,12:40,"(12:40) (Shotgun) 33-J.Williams left end to CHI 28 for 22 yards (29-T.Stevenson). FUMBLES (29-T.Stevenson), RECOVERED by CHI-29-T.Stevenson at CHI 28. 29-T.Stevenson pushed ob at CHI 24 for -4 yards (33-J.Williams).",3,760,3460,0.357506752,0.08424595,0.450479448,run,NA,NA,0,NA,NA,22,-3.639848343,0,0,0,3,3,DAL 43,50,PUNT,FUMBLE,0:42,2,Half1,0,MID 50,0,3
3,Touchdown,3,First down,1,76,0,0,0,2025_03_DAL_CHI,224,CHI,DAL,1,0,1,D.Swift,1.142449417,0.834803568,1,NA,D.Swift,NA,CHI,1,1,12:31,"(12:31) 4-D.Swift right guard to CHI 27 for 3 yards (28-M.Hooker). PENALTY on DAL-54-S.Williams, Illegal Use of Hands, 5 yards, enforced at CHI 27.",10,751,3451,0.441752702,0.008319318,0.546261787,run,NA,NA,0,NA,NA,3,0.834803568,0,0,0,3,3,CHI 24,DAL 35,FUMBLE,TOUCHDOWN,1:56,5,Half1,0,CHI 24,1,3
3,Touchdown,4,First down,1,68,0,0,0,2025_03_DAL_CHI,264,CHI,DAL,0,1,1,C.Williams,1.977252984,1.845322147,1,C.Williams,NA,C.Loveland,CHI,1,1,12:07,(12:07) 18-C.Williams pass deep right to 84-C.Loveland to DAL 37 for 31 yards (6-D.Wilson; 57-J.Sanborn).,10,727,3427,0.45007202,0.050189584,0.55859369,pass,0.604157627,39.58423734,1,17,right,31,1.845322147,0,0,0,3,3,CHI 24,DAL 35,FUMBLE,TOUCHDOWN,1:56,5,Half1,0,CHI 32,0,3
