fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_01_MIN_CHI,1,CHI,MIN,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.432410002,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,1
1,Punt,1,Punt,0,35,0,0,0,2025_01_MIN_CHI,41,CHI,MIN,0,0,0,NA,0.770222367,0.028301195,1,NA,NA,NA,MIN,NA,1,15:00,8-C.Santos kicks 65 yards from CHI 35 to MIN 0. 32-T.Chandler to MIN 25 for 25 yards (47-R.Hyppolite; 43-C.Jones).,0,900,3600,0.432410002,0.006009638,0.566792041,kickoff,NA,NA,0,NA,NA,0,0.028301195,0,0,0,3,3,MIN 25,MIN 32,KICKOFF,PUNT,2:15,3,Half1,25,CHI 35,0,1
1,Punt,1,Punt,0,75,0,0,0,2025_01_MIN_CHI,64,CHI,MIN,1,0,0,A.Jones,0.798523562,-0.390904973,0,NA,A.Jones,NA,MIN,1,1,14:53,(14:53) 33-A.Jones right end pushed ob at MIN 28 for 3 yards (29-T.Stevenson).,10,893,3593,0.43841964,-0.000693202,0.566792041,run,NA,NA,0,NA,NA,3,-0.390904973,0,0,0,3,3,MIN 25,MIN 32,KICKOFF,PUNT,2:15,3,Half1,0,MIN 25,0,1
1,Punt,1,Punt,0,72,0,0,0,2025_01_MIN_CHI,91,CHI,MIN,0,1,0,J.McCarthy,0.407618589,0.231541554,1,J.McCarthy,NA,J.Oliver,MIN,2,1,14:17,(14:17) (No Huddle) 9-J.McCarthy pass short right to 84-J.Oliver pushed ob at MIN 33 for 5 yards (9-J.Brisker).,7,857,3557,0.437726438,-0.014742315,0.578035355,pass,0.870697796,12.93022037,1,-3,right,5,0.231541554,0,0,0,3,3,MIN 25,MIN 32,KICKOFF,PUNT,2:15,3,Half1,0,MIN 28,0,1
1,Punt,1,Punt,0,67,0,0,0,2025_01_MIN_CHI,125,CHI,MIN,0,1,0,J.McCarthy,0.639160143,-1.8499416,0,J.McCarthy,NA,NA,MIN,3,1,13:40,(13:40) (Shotgun) 9-J.McCarthy sacked at MIN 32 for -1 yards (99-G.Dexter).,2,820,3520,0.422984123,0.043890476,0.580824196,pass,NA,NA,0,NA,NA,-1,-1.8499416,0,0,0,3,3,MIN 25,MIN 32,KICKOFF,PUNT,2:15,3,Half1,0,MIN 33,0,1
1,Punt,1,Punt,0,68,0,0,0,2025_01_MIN_CHI,145,CHI,MIN,0,0,0,NA,-1.210781457,-1.231055543,0,NA,NA,NA,MIN,4,1,12:58,"(12:58) 17-R.Wright punts 51 yards to CHI 17, Center-42-A.DePaola. 12-D.Duvernay to CHI 39 for 22 yards (55-E.Wilson; 42-A.DePaola).",3,778,3478,0.466874599,0.049321234,0.605087578,punt,NA,NA,0,NA,NA,0,-1.231055543,0,0,0,3,3,MIN 25,MIN 32,KICKOFF,PUNT,2:15,3,Half1,22,MIN 32,0,1
2,Touchdown,2,First down,1,61,0,0,0,2025_01_MIN_CHI,171,CHI,MIN,0,1,0,C.Williams,2.441836999,-0.356094176,0,C.Williams,NA,D.Swift,CHI,1,1,12:45,(12:45) (Shotgun) 18-C.Williams pass short right to 4-D.Swift pushed ob at CHI 42 for 3 yards (0-I.Pace).,10,765,3465,0.516195834,-0.011671007,0.640445173,pass,0.743962944,25.60370564,1,0,right,3,-0.356094176,0,0,0,3,3,CHI 39,MIN 9,PUNT,TOUCHDOWN,5:41,10,Half1,0,CHI 39,0,1
2,Touchdown,2,First down,1,58,0,0,0,2025_01_MIN_CHI,201,CHI,MIN,0,1,1,C.Williams,2.085742824,0.971129734,1,C.Williams,NA,D.Swift,CHI,2,1,12:15,(12:15) 18-C.Williams pass short left to 4-D.Swift to 50 for 8 yards (7-B.Murphy).,7,735,3435,0.504524827,0.019895434,0.630306423,pass,0.869515002,13.04849982,1,-2,left,8,0.971129734,0,0,0,3,3,CHI 39,MIN 9,PUNT,TOUCHDOWN,5:41,10,Half1,0,CHI 42,0,1
2,Touchdown,3,First down,1,50,0,0,0,2025_01_MIN_CHI,226,CHI,MIN,1,0,0,D.Swift,3.056872558,-0.24387228,0,NA,D.Swift,NA,CHI,1,1,11:29,(11:29) 79-T.Benedet reported in as eligible. 4-D.Swift right guard to MIN 46 for 4 yards (0-I.Pace; 43-A.Van Ginkel).,10,689,3389,0.524420261,-0.017715514,0.651580453,run,NA,NA,0,NA,NA,4,-0.24387228,0,0,0,3,3,CHI 39,MIN 9,PUNT,TOUCHDOWN,5:41,10,Half1,0,MID 50,0,1
2,Touchdown,3,First down,1,46,0,0,0,2025_01_MIN_CHI,250,CHI,MIN,0,1,1,C.Williams,2.813000278,1.068297046,1,C.Williams,NA,K.Monangai,CHI,2,1,10:47,(10:47) 18-C.Williams pass short middle to 25-K.Monangai to MIN 35 for 11 yards (26-T.Jackson).,6,647,3347,0.506704748,0.048082471,0.645374537,pass,0.778869629,22.11303711,1,5,middle,11,1.068297046,0,0,0,3,3,CHI 39,MIN 9,PUNT,TOUCHDOWN,5:41,10,Half1,0,MIN 46,0,1
