fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_07_NO_CHI,1,CHI,NO,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.649934232,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,NO 35,NA,7
1,Punt,1,Punt,0,35,0,0,0,2025_07_NO_CHI,40,CHI,NO,0,0,0,NA,1.474097768,0.56235583,1,NA,NA,NA,CHI,NA,1,15:00,"19-B.Grupe kicks 65 yards from NO 35 to end zone, Touchback to the CHI 35.",0,900,3600,0.649934232,0.018243372,0.546261787,kickoff,NA,NA,0,NA,NA,0,0.56235583,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,NO 35,0,7
1,Punt,1,Punt,0,65,0,0,0,2025_07_NO_CHI,57,CHI,NO,1,0,0,D.Swift,2.036453598,0.130439284,1,NA,D.Swift,NA,CHI,1,1,15:00,(15:00) 4-D.Swift left guard to CHI 40 for 5 yards (90-B.Bresee; 20-P.Werner).,10,900,3600,0.668177605,-0.006133974,0.566390216,run,NA,NA,0,NA,NA,5,0.130439284,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,CHI 35,0,7
1,Punt,1,Punt,0,60,0,0,0,2025_07_NO_CHI,79,CHI,NO,0,1,0,C.Williams,2.166892882,-0.879051922,0,C.Williams,NA,D.Moore,CHI,2,1,14:25,(14:25) (Shotgun) 18-C.Williams pass incomplete short left to 2-D.Moore (99-C.Young).,5,865,3565,0.662043631,-0.027235925,0.559734583,pass,0.879471838,-87.94718385,0,-4,left,0,-0.879051922,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,CHI 40,0,7
1,Punt,1,Punt,0,60,0,0,0,2025_07_NO_CHI,102,CHI,NO,0,0,0,NA,1.28784096,-0.588846989,0,NA,NA,NA,CHI,3,1,14:22,"(14:22) (Shotgun) PENALTY on CHI-79-T.Benedet, False Start, 5 yards, enforced at CHI 40 - No Play.",5,862,3562,0.634807706,-0.012968898,0.53262794,no_play,NA,NA,0,NA,NA,0,-0.588846989,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,CHI 40,1,7
1,Punt,1,Punt,0,65,0,0,0,2025_07_NO_CHI,126,CHI,NO,0,1,0,C.Williams,0.698993971,-0.846799242,0,C.Williams,NA,D.Moore,CHI,3,1,14:22,(14:22) (Shotgun) 18-C.Williams pass short left to 2-D.Moore to CHI 41 for 6 yards (4-K.McKinstry) [99-C.Young].,10,862,3562,0.621838808,-0.021708965,0.518700361,pass,0.469927013,53.00729871,1,6,left,6,-0.846799242,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,CHI 35,0,7
1,Punt,1,Punt,0,59,0,0,0,2025_07_NO_CHI,151,CHI,NO,0,0,0,NA,-0.147805271,-0.173058628,0,NA,NA,NA,CHI,4,1,13:43,"(13:43) 19-T.Taylor punts 40 yards to NO 19, Center-46-S.Daly, fair catch by 22-R.Shaheed.",4,823,3523,0.600129843,0.009123534,0.502433956,punt,NA,NA,0,NA,NA,0,-0.173058628,0,0,0,3,3,CHI 35,CHI 41,KICKOFF,PUNT,1:25,3,Half1,0,CHI 41,0,7
2,Turnover,2,Turnover,0,81,0,0,0,2025_07_NO_CHI,171,CHI,NO,1,0,0,A.Kamara,0.320863899,0.435313667,1,NA,A.Kamara,NA,NO,1,1,13:35,(13:35) 41-A.Kamara left end to NO 25 for 6 yards (53-T.Edwards).,10,815,3515,0.609253377,-0.00599882,0.517709732,run,NA,NA,0,NA,NA,6,0.435313667,0,0,0,3,3,NO 19,NO 25,PUNT,FUMBLE,0:40,2,Half1,0,NO 19,0,7
2,Turnover,2,Turnover,0,75,0,1,0,2025_07_NO_CHI,193,CHI,NO,0,1,0,S.Rattler,0.756177566,-5.57144256,0,S.Rattler,NA,NA,NO,2,1,13:01,"(13:01) (Shotgun) 2-S.Rattler sacked at NO 23 for -2 yards (98-M.Sweat). FUMBLES (98-M.Sweat) [98-M.Sweat], RECOVERED by CHI-99-G.Dexter at NO 24.",4,781,3481,0.603254557,0.133259773,0.50696221,pass,NA,NA,0,NA,NA,-1,-5.57144256,0,0,0,3,3,NO 19,NO 25,PUNT,FUMBLE,0:40,2,Half1,0,NO 25,0,7
3,Field goal,3,First down,1,24,0,0,0,2025_07_NO_CHI,232,CHI,NO,1,0,0,C.Williams,4.815264994,-1.04509127,0,NA,C.Williams,NA,CHI,1,1,12:55,"(12:55) (Shotgun) 18-C.Williams FUMBLES (Aborted) at NO 29, and recovers at NO 29. 18-C.Williams to NO 26 for 3 yards (4-K.McKinstry).",10,775,3475,0.73651433,-0.031236589,0.651547551,run,NA,NA,0,NA,NA,0,-1.04509127,0,0,0,3,3,NO 24,NO 9,FUMBLE,FIELD_GOAL,3:21,6,Half1,0,NO 24,0,7
