fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_12_PIT_CHI,1,CHI,PIT,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.595943093,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,PIT 35,NA,12
1,Punt,1,Punt,0,35,0,0,0,2025_12_PIT_CHI,40,CHI,PIT,0,0,0,NA,1.474097768,0.325972556,1,NA,NA,NA,CHI,NA,1,15:00,9-C.Boswell kicks 64 yards from PIT 35 to CHI 1. 39-J.Blackwell to CHI 29 for 28 yards (33-J.Sawyer).,0,900,3600,0.595943093,0.003392696,0.546261787,kickoff,NA,NA,0,NA,NA,0,0.325972556,0,0,0,3,3,CHI 29,CHI 33,KICKOFF,PUNT,1:41,3,Half1,28,PIT 35,0,12
1,Punt,1,Punt,0,71,0,0,0,2025_12_PIT_CHI,63,CHI,PIT,1,0,0,D.Swift,1.800070324,-0.546385956,0,NA,D.Swift,NA,CHI,1,1,14:54,(14:54) 4-D.Swift right guard to CHI 30 for 1 yard (5-J.Ramsey; 24-J.Porter).,10,894,3594,0.59933579,-0.007912576,0.553101301,run,NA,NA,0,NA,NA,1,-0.546385956,0,0,0,3,3,CHI 29,CHI 33,KICKOFF,PUNT,1:41,3,Half1,0,CHI 29,0,12
1,Punt,1,Punt,0,70,0,0,0,2025_12_PIT_CHI,85,CHI,PIT,1,0,0,D.Swift,1.253684368,-0.454511463,0,NA,D.Swift,NA,CHI,2,1,14:19,(14:19) (Shotgun) 4-D.Swift right guard to CHI 33 for 3 yards (99-D.Harmon; 95-K.Benton).,9,859,3559,0.591423213,-0.004711747,0.534293115,run,NA,NA,0,NA,NA,3,-0.454511463,0,0,0,3,3,CHI 29,CHI 33,KICKOFF,PUNT,1:41,3,Half1,0,CHI 30,0,12
1,Punt,1,Punt,0,67,0,0,0,2025_12_PIT_CHI,107,CHI,PIT,0,1,0,C.Williams,0.799172905,-1.454821058,0,C.Williams,NA,C.Loveland,CHI,3,1,13:36,(13:36) (Shotgun) 18-C.Williams pass incomplete short left to 84-C.Loveland (29-K.Dugger).,6,816,3516,0.586711466,-0.033441305,0.53262794,pass,0.698913753,-69.8913753,0,5,left,0,-1.454821058,0,0,0,3,3,CHI 29,CHI 33,KICKOFF,PUNT,1:41,3,Half1,0,CHI 33,0,12
1,Punt,1,Punt,0,67,0,0,0,2025_12_PIT_CHI,130,CHI,PIT,0,0,0,NA,-0.655648153,0.203027872,1,NA,NA,NA,CHI,4,1,13:30,"(13:30) 19-T.Taylor punts 58 yards to PIT 9, Center-46-S.Daly. 19-C.Austin pushed ob at PIT 21 for 12 yards (92-D.Hardy).",6,810,3510,0.553270161,-0.030728668,0.498643398,punt,NA,NA,0,NA,NA,0,0.203027872,0,0,0,3,3,CHI 29,CHI 33,KICKOFF,PUNT,1:41,3,Half1,12,CHI 33,0,12
2,Turnover,2,Turnover,0,79,0,0,0,2025_12_PIT_CHI,161,CHI,PIT,1,0,0,K.Gainwell,0.452620281,0.983040701,1,NA,K.Gainwell,NA,PIT,1,1,13:19,(13:19) (Shotgun) 14-K.Gainwell left end to PIT 30 for 9 yards (94-A.Booker; 48-D.Jackson).,10,799,3499,0.522541493,-0.030911177,0.510734707,run,NA,NA,0,NA,NA,9,0.983040701,0,0,0,3,3,PIT 21,PIT 30,PUNT,INTERCEPTION,0:44,2,Half1,0,PIT 21,0,12
2,Turnover,2,Turnover,0,70,0,0,1,2025_12_PIT_CHI,183,CHI,PIT,0,1,0,M.Rudolph,1.435660982,-4.124999596,0,M.Rudolph,NA,D.Metcalf,PIT,2,1,12:41,(12:41) (Shotgun) 2-M.Rudolph pass deep left intended for 4-D.Metcalf INTERCEPTED by 26-N.Wright at CHI 44. 26-N.Wright pushed ob at CHI 44 for no gain (4-D.Metcalf).,1,761,3461,0.491630316,0.102877855,0.488019228,pass,0.428388566,-42.83885658,0,26,left,0,-4.124999596,0,0,0,3,3,PIT 21,PIT 30,PUNT,INTERCEPTION,0:44,2,Half1,0,PIT 30,0,12
3,Touchdown,3,First down,1,56,0,0,0,2025_12_PIT_CHI,234,CHI,PIT,0,1,0,C.Williams,2.689338614,-0.491330557,0,C.Williams,NA,D.Moore,CHI,1,1,12:35,(12:35) 18-C.Williams pass incomplete deep left to 2-D.Moore.,10,755,3455,0.594508171,-0.009060919,0.579976439,pass,0.504588664,-50.45886636,0,21,left,0,-0.491330557,0,0,0,3,3,CHI 44,PIT 5,INTERCEPTION,TOUCHDOWN,4:07,8,Half1,0,CHI 44,0,12
3,Touchdown,3,First down,1,56,0,0,0,2025_12_PIT_CHI,269,CHI,PIT,0,1,0,C.Williams,2.198008057,0.672434686,1,C.Williams,NA,NA,CHI,2,1,12:30,(12:30) (Shotgun) 18-C.Williams scrambles right tackle pushed ob at PIT 47 for 9 yards (24-J.Porter).,10,750,3450,0.585447252,0.002224147,0.56201303,run,NA,NA,0,NA,NA,9,0.672434686,0,0,0,3,3,CHI 44,PIT 5,INTERCEPTION,TOUCHDOWN,4:07,8,Half1,0,CHI 44,0,12
