fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Field goal,1,First down,1,NA,NA,NA,NA,2025_08_CHI_BAL,1,BAL,CHI,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.558621168,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,BAL 35,NA,8
1,Field goal,1,First down,1,35,0,0,0,2025_08_CHI_BAL,40,BAL,CHI,0,0,0,NA,0.770222367,-0.374266525,0,NA,NA,NA,CHI,NA,1,15:00,"33-T.Loop kicks 57 yards from BAL 35 to CHI 8. 12-D.Duvernay to CHI 35 for 27 yards (27-T.Tampa). CHI-90-D.Robinson was injured during the play. PENALTY on CHI-39-J.Blackwell, Offensive Holding, 10 yards, enforced at CHI 32.",0,900,3600,0.558621168,-0.006470472,0.566792041,kickoff,NA,NA,0,NA,NA,0,-0.374266525,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,24,BAL 35,1,8
1,Field goal,1,First down,1,78,0,0,0,2025_08_CHI_BAL,74,BAL,CHI,0,1,1,C.Williams,0.395955842,1.359644106,1,C.Williams,NA,C.Loveland,CHI,1,1,14:55,(14:55) 18-C.Williams pass short left to 84-C.Loveland pushed ob at CHI 40 for 18 yards (40-T.Buchanan).,10,895,3595,0.552150697,-0.024515629,0.56609118,pass,0.762402415,23.75975847,1,5,left,18,1.359644106,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,CHI 22,0,8
1,Field goal,2,First down,1,60,0,0,0,2025_08_CHI_BAL,107,BAL,CHI,1,0,0,K.Monangai,1.755599948,-0.457623737,0,NA,K.Monangai,NA,CHI,1,1,14:22,(14:22) (Shotgun) 75-O.Trapilo reported in as eligible. 25-K.Monangai left guard to CHI 41 for 1 yard (98-T.Jones; 40-T.Buchanan).,10,862,3562,0.527635068,0.01708132,0.5451006,run,NA,NA,0,NA,NA,1,-0.457623737,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,CHI 40,0,8
1,Field goal,2,First down,1,59,0,0,0,2025_08_CHI_BAL,131,BAL,CHI,0,1,1,C.Williams,1.29797621,1.607620131,1,C.Williams,NA,R.Odunze,CHI,2,1,13:48,(13:48) 18-C.Williams pass short left to 15-R.Odunze to BAL 43 for 16 yards (44-M.Humphrey).,9,828,3528,0.544716388,-0.048525304,0.563218534,pass,0.576422572,42.35774279,1,15,left,16,1.607620131,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,CHI 41,0,8
1,Field goal,3,First down,1,43,0,0,0,2025_08_CHI_BAL,156,BAL,CHI,1,0,0,D.Swift,2.905596341,-0.143004218,0,NA,D.Swift,NA,CHI,1,1,13:14,(13:14) 4-D.Swift left tackle to BAL 40 for 3 yards (0-R.Smith).,10,794,3494,0.496191084,-0.015778065,0.519882113,run,NA,NA,0,NA,NA,3,-0.143004218,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,BAL 43,0,8
1,Field goal,3,First down,1,40,0,0,0,2025_08_CHI_BAL,178,BAL,CHI,1,0,1,D.Swift,2.762592123,1.140702275,1,NA,D.Swift,NA,CHI,2,1,12:35,(12:35) 75-O.Trapilo reported in as eligible. 4-D.Swift left tackle to BAL 30 for 10 yards (12-A.Gilman; 0-R.Smith).,7,755,3455,0.48041302,-0.004832029,0.500955194,run,NA,NA,0,NA,NA,10,1.140702275,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,BAL 40,0,8
1,Field goal,4,First down,1,30,0,0,0,2025_08_CHI_BAL,202,BAL,CHI,0,1,1,C.Williams,3.903294398,0.871442186,1,C.Williams,NA,R.Odunze,CHI,1,1,12:00,(12:00) 18-C.Williams pass short right to 15-R.Odunze to BAL 17 for 13 yards (2-N.Wiggins).,10,720,3420,0.47558099,-0.031027496,0.468402863,pass,0.675104797,32.48952031,1,8,right,13,0.871442186,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,BAL 30,0,8
1,Field goal,5,First down,1,17,0,0,0,2025_08_CHI_BAL,227,BAL,CHI,1,0,0,D.Swift,4.774736583,0.227888781,1,NA,D.Swift,NA,CHI,1,1,11:18,(11:18) 4-D.Swift right tackle to BAL 10 for 7 yards (0-R.Smith).,10,678,3378,0.444553494,-0.013186932,0.439922094,run,NA,NA,0,NA,NA,7,0.227888781,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,BAL 17,0,8
1,Field goal,5,First down,1,10,0,0,0,2025_08_CHI_BAL,249,BAL,CHI,0,1,0,C.Williams,5.002625364,-0.013340955,0,C.Williams,NA,NA,CHI,2,1,10:38,(10:38) 18-C.Williams scrambles left end to BAL 8 for 2 yards (14-K.Hamilton).,3,638,3338,0.431366563,0.026263714,0.417791724,run,NA,NA,0,NA,NA,2,-0.013340955,0,0,0,3,3,CHI 22,BAL 14,KICKOFF,FIELD_GOAL,8:10,13,Half1,0,BAL 10,0,8
