fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Touchdown,1,Touchdown,1,NA,NA,NA,NA,2025_09_CHI_CIN,1,CIN,CHI,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.401231647,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,9
1,Touchdown,1,Touchdown,1,35,1,0,0,2025_09_CHI_CIN,39,CIN,CHI,0,0,0,NA,1.474097768,5.525902232,1,NA,NA,NA,CIN,NA,1,15:00,"8-C.Santos kicks 63 yards from CHI 35 to CIN 2. 15-C.Jones for 98 yards, TOUCHDOWN.",0,900,3600,0.401231647,0.198515689,0.546261787,kickoff,NA,NA,0,NA,NA,0,5.525902232,6,0,0,3,3,NA,NA,KICKOFF,TOUCHDOWN,0:11,0,Half1,98,CHI 35,0,9
1,Touchdown,1,Touchdown,1,15,0,0,0,2025_09_CHI_CIN,63,CIN,CHI,0,0,0,NA,0.932426997,0.067573003,1,NA,NA,NA,CIN,NA,1,14:49,"2-E.McPherson extra point is GOOD, Center-46-W.Wagner, Holder-8-R.Rehkow.",0,889,3589,0.599747335,0.000916833,0.756257258,extra_point,NA,NA,0,NA,NA,0,0.067573003,7,0,6,3,3,NA,NA,KICKOFF,TOUCHDOWN,0:11,0,Half1,0,CHI 15,0,9
2,Touchdown,2,First down,1,35,0,0,0,2025_09_CHI_CIN,78,CIN,CHI,0,0,0,NA,0.824464378,0.098718772,1,NA,NA,NA,CHI,NA,1,14:49,2-E.McPherson kicks 62 yards from CIN 35 to CHI 3. 12-D.Duvernay to CHI 27 for 24 yards (38-D.Ivey; 26-T.Anderson).,0,889,3589,0.600664169,0.007186741,0.757822081,kickoff,NA,NA,0,NA,NA,0,0.098718772,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,24,CIN 35,0,9
2,Touchdown,2,First down,1,73,0,0,0,2025_09_CHI_CIN,101,CIN,CHI,0,1,0,C.Williams,0.92318315,-0.597080575,0,C.Williams,NA,C.Kmet,CHI,1,1,14:43,(14:43) (Shotgun) 18-C.Williams pass incomplete deep middle to 85-C.Kmet.,10,883,3583,0.607850909,0.033953965,0.757822081,pass,0.608328938,-60.83289385,0,21,middle,0,-0.597080575,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 27,0,9
2,Touchdown,2,First down,1,73,0,0,0,2025_09_CHI_CIN,124,CIN,CHI,1,0,0,K.Monangai,0.326102575,-0.130243696,0,NA,K.Monangai,NA,CHI,2,1,14:38,(14:38) (Shotgun) 25-K.Monangai right guard to CHI 32 for 5 yards (98-T.Slaton; 99-M.Murphy).,10,878,3578,0.641804874,-0.101252735,0.769991264,run,NA,NA,0,NA,NA,5,-0.130243696,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 27,0,9
2,Touchdown,2,First down,1,68,0,0,0,2025_09_CHI_CIN,146,CIN,CHI,0,1,1,C.Williams,0.195858879,1.686248545,1,C.Williams,NA,O.Zaccheaus,CHI,3,1,13:57,(13:57) (Shotgun) 18-C.Williams pass short middle to 14-O.Zaccheaus to CHI 41 for 9 yards (23-D.Hill; 99-M.Murphy).,5,837,3537,0.540552139,-0.045603931,0.707579494,pass,0.724536598,27.54634023,1,6,middle,9,1.686248545,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 32,0,9
2,Touchdown,3,First down,1,59,0,0,0,2025_09_CHI_CIN,171,CIN,CHI,0,1,0,C.Kmet,1.882107424,-0.492736021,0,C.Kmet,NA,R.Odunze,CHI,1,1,13:22,"(13:22) Direct snap to 85-C.Kmet. 85-C.Kmet pass short right to 15-R.Odunze to CIN 45 for 14 yards (44-D.Knight). Cincinnati challenged the pass completion ruling, and the play was REVERSED. Direct snap to 85-C.Kmet. 85-C.Kmet pass incomplete short right to 15-R.Odunze (44-D.Knight).",10,802,3502,0.494948208,0.012289554,0.669472784,pass,0.632941067,-63.29410672,0,13,right,0,-0.492736021,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 41,0,9
2,Touchdown,3,First down,1,59,0,0,0,2025_09_CHI_CIN,252,CIN,CHI,0,1,0,C.Williams,1.389371403,-0.861876267,0,C.Williams,NA,R.Odunze,CHI,2,1,13:15,(13:15) 18-C.Williams pass incomplete deep middle to 15-R.Odunze (20-D.Turner).,10,795,3495,0.507237762,0.030804008,0.68423155,pass,0.64809978,-64.80997801,0,19,middle,0,-0.861876267,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 41,0,9
2,Touchdown,3,First down,1,59,0,0,0,2025_09_CHI_CIN,275,CIN,CHI,0,1,1,C.Williams,0.527495136,1.802573593,1,C.Williams,NA,NA,CHI,3,1,13:09,"(13:09) (Shotgun) 18-C.Williams sacked at CHI 40 for -1 yards (58-J.Ossai). PENALTY on CIN-44-D.Knight, Illegal Contact, 5 yards, enforced at CHI 41 - No Play.",10,789,3489,0.53804177,-0.04473269,0.705412447,no_play,NA,NA,0,NA,NA,0,1.802573593,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 41,1,9
2,Touchdown,4,First down,1,54,0,0,0,2025_09_CHI_CIN,306,CIN,CHI,0,1,1,C.Williams,2.330068729,1.046795888,1,C.Williams,NA,D.Moore,CHI,1,1,12:51,(12:51) 18-C.Williams pass short left to 2-D.Moore to CIN 38 for 16 yards (22-G.Stone).,10,771,3471,0.493309081,-0.011246443,0.66272983,pass,0.681821167,31.81788325,1,9,left,16,1.046795888,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CHI 46,0,9
2,Touchdown,5,First down,1,38,0,0,0,2025_09_CHI_CIN,331,CIN,CHI,1,0,0,K.Monangai,3.376864617,0.706143857,1,NA,K.Monangai,NA,CHI,1,1,12:12,(12:12) 75-O.Trapilo reported in as eligible. 25-K.Monangai up the middle to CIN 29 for 9 yards (42-O.Burks; 27-J.Battle).,10,732,3432,0.482062638,-0.018594623,0.643675625,run,NA,NA,0,NA,NA,9,0.706143857,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CIN 38,0,9
2,Touchdown,5,First down,1,29,0,0,0,2025_09_CHI_CIN,355,CIN,CHI,0,1,1,C.Williams,4.083008473,0.928851196,1,C.Williams,NA,D.Moore,CHI,2,1,11:41,(11:41) (Shotgun) 18-C.Williams pass short left to 2-D.Moore to CIN 10 for 19 yards (22-G.Stone; 49-B.Carter).,1,701,3401,0.463468015,-0.047021866,0.626565069,pass,0.876439393,12.35606074,1,-3,left,19,0.928851196,7,0,-7,3,3,CHI 27,CIN 2,KICKOFF,TOUCHDOWN,6:05,12,Half1,0,CIN 29,0,9
