fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,Punt,0,NA,NA,NA,NA,2025_04_CHI_LV,1,LV,CHI,0,0,0,NA,1.008251358,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.518480211,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,LV 35,NA,4
1,Punt,1,Punt,0,35,0,0,0,2025_04_CHI_LV,40,LV,CHI,0,0,0,NA,1.008251358,0.292052997,1,NA,NA,NA,CHI,NA,1,15:00,8-D.Carlson kicks 60 yards from LV 35 to CHI 5. 12-D.Duvernay to CHI 29 for 24 yards (23-D.Laube; 44-T.Eichenberg).,0,900,3600,0.518480211,-0.002036959,0.566792041,kickoff,NA,NA,0,NA,NA,0,0.292052997,0,0,0,3,3,CHI 29,CHI 36,KICKOFF,PUNT,1:46,3,Half1,24,LV 35,0,4
1,Punt,1,Punt,0,71,0,0,0,2025_04_CHI_LV,63,LV,CHI,1,0,0,D.Swift,1.300304356,-0.539428099,0,NA,D.Swift,NA,CHI,1,1,14:53,(14:53) 4-D.Swift left tackle to CHI 31 for 2 yards (52-E.Roberts).,10,893,3593,0.516443253,0.005431235,0.564715147,run,NA,NA,0,NA,NA,2,-0.539428099,0,0,0,3,3,CHI 29,CHI 36,KICKOFF,PUNT,1:46,3,Half1,0,CHI 29,0,4
1,Punt,1,Punt,0,69,0,0,0,2025_04_CHI_LV,85,LV,CHI,0,1,0,C.Williams,0.760876257,0.086355505,1,C.Williams,NA,D.Moore,CHI,2,1,14:16,(14:16) (Shotgun) 18-C.Williams pass short right to 2-D.Moore to CHI 36 for 5 yards (45-D.White).,8,856,3556,0.521874487,0.003573537,0.584369749,pass,0.894617856,10.53821445,1,-4,right,5,0.086355505,0,0,0,3,3,CHI 29,CHI 36,KICKOFF,PUNT,1:46,3,Half1,0,CHI 31,0,4
1,Punt,1,Punt,0,64,0,0,0,2025_04_CHI_LV,110,LV,CHI,0,1,0,C.Williams,0.847231762,-1.795892907,0,C.Williams,NA,D.Swift,CHI,3,1,13:31,(13:31) 18-C.Williams pass incomplete short left to 4-D.Swift [98-M.Crosby].,3,811,3511,0.525448024,0.035880893,0.5748142,pass,0.61316818,-61.316818,0,-3,left,0,-1.795892907,0,0,0,3,3,CHI 29,CHI 36,KICKOFF,PUNT,1:46,3,Half1,0,CHI 36,0,4
1,Punt,1,Punt,0,64,0,0,0,2025_04_CHI_LV,133,LV,CHI,0,0,0,NA,-0.948661145,-0.920917192,0,NA,NA,NA,CHI,4,1,13:24,"(13:24) 19-T.Taylor punts 46 yards to LV 18, Center-46-S.Daly. 1-T.Tucker to LV 25 for 7 yards (36-J.Owens; 92-D.Hardy).",3,804,3504,0.561328918,0.027782649,0.601894796,punt,NA,NA,0,NA,NA,0,-0.920917192,0,0,0,3,3,CHI 29,CHI 36,KICKOFF,PUNT,1:46,3,Half1,7,CHI 36,0,4
2,Turnover,2,First down,1,75,0,0,0,2025_04_CHI_LV,159,LV,CHI,0,1,0,G.Smith,1.869578337,0.625870609,1,G.Smith,NA,J.Meyers,LV,1,1,13:14,(13:14) (Shotgun) 7-G.Smith pass short right to 16-J.Meyers to LV 34 for 9 yards (31-K.Byard).,10,794,3494,0.589111567,0.027878106,0.612697124,pass,0.767629802,23.23701978,1,7,right,9,0.625870609,0,0,0,3,3,LV 25,LV 46,PUNT,INTERCEPTION,2:26,5,Half1,0,LV 25,0,4
2,Turnover,2,First down,1,66,0,0,0,2025_04_CHI_LV,184,LV,CHI,1,0,1,A.Jeanty,2.495448946,0.562024433,1,NA,A.Jeanty,NA,LV,2,1,12:32,(12:32) (Shotgun) 2-A.Jeanty left guard to LV 46 for 12 yards (49-T.Edmunds).,1,752,3452,0.616989672,-0.008725405,0.655104101,run,NA,NA,0,NA,NA,12,0.562024433,0,0,0,3,3,LV 25,LV 46,PUNT,INTERCEPTION,2:26,5,Half1,0,LV 34,0,4
2,Turnover,3,Turnover,0,54,0,0,0,2025_04_CHI_LV,206,LV,CHI,0,1,0,G.Smith,3.057473378,-0.560861291,0,G.Smith,NA,D.Thornton,LV,1,1,11:52,(11:52) 7-G.Smith pass incomplete short left to 10-D.Thornton (29-T.Stevenson).,10,712,3412,0.608264267,-0.013159573,0.647396624,pass,0.664990962,-66.49909616,0,14,left,0,-0.560861291,0,0,0,3,3,LV 25,LV 46,PUNT,INTERCEPTION,2:26,5,Half1,0,LV 46,0,4
2,Turnover,3,Turnover,0,54,0,0,0,2025_04_CHI_LV,229,LV,CHI,1,0,0,A.Jeanty,2.496612087,-0.986094241,0,NA,A.Jeanty,NA,LV,2,1,11:45,(11:45) 2-A.Jeanty up the middle to LV 46 for no gain (49-T.Edmunds; 9-J.Brisker).,10,705,3405,0.595104694,-0.037386835,0.632952034,run,NA,NA,0,NA,NA,0,-0.986094241,0,0,0,3,3,LV 25,LV 46,PUNT,INTERCEPTION,2:26,5,Half1,0,LV 46,0,4
