fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Punt,1,First down,1,NA,NA,NA,NA,2025_11_CHI_MIN,1,MIN,CHI,0,0,0,NA,1.841283984,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.595943093,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,11
1,Punt,1,First down,1,35,0,0,0,2025_11_CHI_MIN,39,MIN,CHI,0,0,0,NA,1.841283984,-0.425216423,0,NA,NA,NA,MIN,NA,1,15:00,"8-C.Santos kicks 65 yards from CHI 35 to landing zone to end zone, Touchback to the MIN 20.",0,900,3600,0.595943093,-0.002518892,0.546261787,kickoff,NA,NA,0,NA,NA,0,-0.425216423,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,CHI 35,0,11
1,Punt,1,First down,1,80,0,0,0,2025_11_CHI_MIN,56,MIN,CHI,1,0,0,A.Jones,1.416067561,-0.451887014,0,NA,A.Jones,NA,MIN,1,1,15:00,(15:00) 33-A.Jones right tackle to MIN 23 for 3 yards (49-T.Edmunds).,10,900,3600,0.593424201,-0.009558797,0.541853309,run,NA,NA,0,NA,NA,3,-0.451887014,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 20,0,11
1,Punt,1,First down,1,77,0,0,0,2025_11_CHI_MIN,78,MIN,CHI,1,0,0,A.Jones,0.964180547,-0.337971037,0,NA,A.Jones,NA,MIN,2,1,14:25,(14:25) (Shotgun) 33-A.Jones right end to MIN 25 for 2 yards (49-T.Edmunds).,7,865,3565,0.583865404,-0.01667881,0.533459663,run,NA,NA,0,NA,NA,2,-0.337971037,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 23,0,11
1,Punt,1,First down,1,75,0,0,0,2025_11_CHI_MIN,100,MIN,CHI,0,1,1,J.McCarthy,0.62620951,1.584347924,1,J.McCarthy,NA,A.Thielen,MIN,3,1,13:52,(13:52) (Shotgun) 9-J.McCarthy pass short left to 19-A.Thielen to MIN 31 for 6 yards (26-N.Wright).,5,832,3532,0.567186594,0.031024158,0.512281835,pass,0.701174438,29.8825562,1,5,left,6,1.584347924,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 25,0,11
1,Punt,2,First down,1,69,0,0,0,2025_11_CHI_MIN,125,MIN,CHI,1,0,0,A.Jones,2.210557435,-0.588355115,0,NA,A.Jones,NA,MIN,1,1,13:16,(13:16) 33-A.Jones left end to MIN 32 for 1 yard (44-N.Sewell).,10,796,3496,0.598210752,-0.038155258,0.552488089,run,NA,NA,0,NA,NA,1,-0.588355115,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 31,0,11
1,Punt,2,First down,1,68,0,0,0,2025_11_CHI_MIN,147,MIN,CHI,0,1,0,J.McCarthy,1.62220232,0.164118853,1,J.McCarthy,NA,T.Hockenson,MIN,2,1,12:37,(12:37) (Shotgun) 9-J.McCarthy pass short left to 87-T.Hockenson to MIN 39 for 7 yards (35-C.Gardner-Johnson; 97-A.Billings).,9,757,3457,0.560055494,0.018954992,0.5404405,pass,0.895803332,10.41966677,1,-3,left,7,0.164118853,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 32,0,11
1,Punt,2,First down,1,61,0,0,0,2025_11_CHI_MIN,172,MIN,CHI,1,0,1,A.Jones,1.786321173,0.842048384,1,NA,A.Jones,NA,MIN,3,1,11:50,(11:50) (Shotgun) 33-A.Jones up the middle to MIN 41 for 2 yards (44-N.Sewell; 49-T.Edmunds).,2,710,3410,0.579010487,0.01652962,0.549314082,run,NA,NA,0,NA,NA,2,0.842048384,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 39,0,11
1,Punt,3,Punt,0,59,0,0,0,2025_11_CHI_MIN,194,MIN,CHI,0,1,0,J.McCarthy,2.628369557,-0.534384087,0,J.McCarthy,NA,J.Addison,MIN,1,1,11:14,(11:14) 9-J.McCarthy pass incomplete deep left to 3-J.Addison.,10,674,3374,0.595540106,-0.01473093,0.572573364,pass,0.383424699,-38.34246993,0,31,left,0,-0.534384087,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 41,0,11
1,Punt,3,Punt,0,59,0,0,0,2025_11_CHI_MIN,217,MIN,CHI,1,0,0,A.Jones,2.09398547,0.006085969,1,NA,A.Jones,NA,MIN,2,1,11:09,(11:09) (Shotgun) 33-A.Jones up the middle to MIN 48 for 7 yards (90-D.Robinson).,10,669,3369,0.580809176,0.001862705,0.554536581,run,NA,NA,0,NA,NA,7,0.006085969,0,0,0,3,3,MIN 20,MIN 48,KICKOFF,PUNT,4:40,9,Half1,0,MIN 41,0,11
