fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Turnover on downs,1,First down,1,NA,NA,NA,NA,2025_13_CHI_PHI,1,PHI,CHI,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.769402519,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,PHI 35,NA,13
1,Turnover on downs,1,First down,1,35,0,0,0,2025_13_CHI_PHI,39,PHI,CHI,0,0,0,NA,0.770222367,0.522439041,1,NA,NA,NA,CHI,NA,1,15:00,4-J.Elliott kicks 56 yards from PHI 35 to CHI 9. 39-J.Blackwell to CHI 33 for 24 yards (48-P.Johnson).,0,900,3600,0.769402519,-0.001868978,0.566792041,kickoff,NA,NA,0,NA,NA,0,0.522439041,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,24,PHI 35,0,13
1,Turnover on downs,1,First down,1,67,0,0,0,2025_13_CHI_PHI,62,PHI,CHI,1,0,0,D.Swift,1.292661407,-0.210870351,0,NA,D.Swift,NA,CHI,1,1,14:54,(14:54) 4-D.Swift left tackle to CHI 36 for 3 yards (3-N.Smith; 53-Z.Baun).,10,894,3594,0.767533541,-0.007775992,0.56037131,run,NA,NA,0,NA,NA,3,-0.210870351,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,CHI 33,0,13
1,Turnover on downs,1,First down,1,64,0,0,0,2025_13_CHI_PHI,84,PHI,CHI,0,1,0,C.Williams,1.081791056,0.475324997,1,C.Williams,NA,C.Kmet,CHI,2,1,14:16,(14:16) (Shotgun) 18-C.Williams pass short left to 85-C.Kmet to CHI 42 for 6 yards (32-R.Blankenship; 53-Z.Baun).,7,856,3556,0.759757549,-0.015275687,0.558551848,pass,0.868155122,13.18448782,1,-3,left,6,0.475324997,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,CHI 36,0,13
1,Turnover on downs,1,First down,1,58,0,0,0,2025_13_CHI_PHI,109,PHI,CHI,1,0,1,C.Williams,1.557116053,0.629423358,1,NA,C.Williams,NA,CHI,3,1,13:34,(13:34) 18-C.Williams left guard to CHI 45 for 3 yards (17-N.Dean).,1,814,3514,0.744481862,-0.001000553,0.569481522,run,NA,NA,0,NA,NA,3,0.629423358,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,CHI 42,0,13
1,Turnover on downs,2,First down,1,55,0,0,0,2025_13_CHI_PHI,131,PHI,CHI,0,1,0,C.Williams,2.186539412,-0.514396081,0,C.Williams,NA,R.Odunze,CHI,1,1,12:59,(12:59) 18-C.Williams pass incomplete deep right to 15-R.Odunze (33-C.DeJean).,10,779,3479,0.743481308,0.009660959,0.53757295,pass,0.589731932,-58.97319317,0,17,right,0,-0.514396081,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,CHI 45,0,13
1,Turnover on downs,2,First down,1,55,0,0,0,2025_13_CHI_PHI,154,PHI,CHI,1,0,0,D.Swift,1.67214333,-0.272215551,0,NA,D.Swift,NA,CHI,2,1,12:54,(12:54) 4-D.Swift left tackle to 50 for 5 yards (90-J.Davis; 58-J.Hunt).,10,774,3474,0.753142267,0.01362586,0.555746317,run,NA,NA,0,NA,NA,5,-0.272215551,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,CHI 45,0,13
1,Turnover on downs,2,First down,1,50,0,0,0,2025_13_CHI_PHI,176,PHI,CHI,0,1,1,C.Williams,1.399927779,1.483681229,1,C.Williams,NA,R.Odunze,CHI,3,1,12:16,(12:16) (Shotgun) 18-C.Williams pass short right to 15-R.Odunze to PHI 45 for 5 yards (8-A.Jackson).,5,736,3436,0.766768128,-0.065919906,0.556697786,pass,0.650825918,34.91740823,1,5,right,5,1.483681229,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,MID 50,0,13
1,Turnover on downs,3,First down,1,45,0,0,0,2025_13_CHI_PHI,201,PHI,CHI,0,1,1,C.Williams,2.883609008,0.65058266,1,C.Williams,NA,L.Burden,CHI,1,1,11:36,(11:36) 18-C.Williams pass short left to 10-L.Burden to PHI 34 for 11 yards (33-C.DeJean).,10,696,3396,0.700848222,-0.013579041,0.519882113,pass,0.706311703,29.36882973,1,7,left,11,0.65058266,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,PHI 45,0,13
1,Turnover on downs,4,Turnover on downs,0,34,0,0,0,2025_13_CHI_PHI,226,PHI,CHI,1,0,0,D.Swift,3.534191668,-0.109093453,0,NA,D.Swift,NA,CHI,1,1,11:05,(11:05) 4-D.Swift right end to PHI 31 for 3 yards (50-J.Phillips).,10,665,3365,0.687269181,-0.010573417,0.46958822,run,NA,NA,0,NA,NA,3,-0.109093453,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,PHI 34,0,13
1,Turnover on downs,4,Turnover on downs,0,31,0,0,0,2025_13_CHI_PHI,248,PHI,CHI,0,1,0,C.Williams,3.425098216,-0.707633627,0,C.Williams,NA,C.Loveland,CHI,2,1,10:23,(10:23) (Shotgun) 18-C.Williams pass incomplete short right to 84-C.Loveland (98-J.Carter).,7,623,3323,0.676695764,0.022510678,0.48270911,pass,0.54739958,-54.73995805,0,15,right,0,-0.707633627,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,PHI 31,0,13
1,Turnover on downs,4,Turnover on downs,0,31,0,0,0,2025_13_CHI_PHI,271,PHI,CHI,1,0,0,D.Swift,2.717464588,-0.185687533,0,NA,D.Swift,NA,CHI,3,1,10:19,(10:19) (Shotgun) 4-D.Swift left end to PHI 25 for 6 yards (8-A.Jackson).,7,619,3319,0.699206442,0.012155294,0.515377611,run,NA,NA,0,NA,NA,6,-0.185687533,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,PHI 31,0,13
1,Turnover on downs,4,Turnover on downs,0,25,0,0,0,2025_13_CHI_PHI,293,PHI,CHI,1,0,0,K.Monangai,2.531777055,-3.937514064,0,NA,K.Monangai,NA,CHI,4,1,9:36,"(9:36) 25-K.Monangai right guard to PHI 24 for 1 yard (94-B.Young, 98-J.Carter). Philadelphia challenged the first down ruling, and the play was REVERSED. 25-K.Monangai right guard to PHI 25 for no gain (94-B.Young, 98-J.Carter).",1,576,3276,0.711361736,0.047871977,0.516524255,run,NA,NA,0,NA,NA,0,-3.937514064,0,0,0,3,3,CHI 33,PHI 25,KICKOFF,DOWNS,5:26,11,Half1,0,PHI 25,0,13
2,Punt,5,First down,1,75,0,0,0,2025_13_CHI_PHI,342,PHI,CHI,1,0,0,S.Barkley,1.405737008,0.018160007,1,NA,S.Barkley,NA,PHI,1,1,9:34,(9:34) 26-S.Barkley left tackle to PHI 30 for 5 yards (45-A.Ogbongbemiga).,10,574,3274,0.759233713,0.013405025,0.612697124,run,NA,NA,0,NA,NA,5,0.018160007,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 25,0,13
2,Punt,5,First down,1,70,0,0,0,2025_13_CHI_PHI,371,PHI,CHI,0,0,0,NA,1.423897016,-0.585946665,0,NA,NA,NA,PHI,2,1,8:53,"(8:53) (Shotgun) PENALTY on PHI-11-A.Brown, False Start, 5 yards, enforced at PHI 30 - No Play.",5,533,3233,0.772638738,-0.016843736,0.611594915,no_play,NA,NA,0,NA,NA,0,-0.585946665,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 30,1,13
2,Punt,5,First down,1,75,0,0,0,2025_13_CHI_PHI,395,PHI,CHI,0,1,1,J.Hurts,0.837950351,1.146163025,1,J.Hurts,NA,A.Brown,PHI,2,1,8:32,(8:32) (Shotgun) 1-J.Hurts pass short right to 11-A.Brown to PHI 35 for 10 yards (35-C.Gardner-Johnson).,10,512,3212,0.755795002,0.00809139,0.597714305,pass,0.766928971,23.30710292,1,5,right,10,1.146163025,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 25,0,13
2,Punt,6,Punt,0,65,0,0,0,2025_13_CHI_PHI,420,PHI,CHI,1,0,0,S.Barkley,1.984113376,0.078289469,1,NA,S.Barkley,NA,PHI,1,1,7:56,(7:56) (Shotgun) 26-S.Barkley left tackle to PHI 40 for 5 yards (99-G.Dexter; 94-A.Booker).,10,476,3176,0.763886392,0.019751787,0.634617329,run,NA,NA,0,NA,NA,5,0.078289469,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 35,0,13
2,Punt,6,Punt,0,60,0,0,0,2025_13_CHI_PHI,442,PHI,CHI,0,1,0,J.Hurts,2.062402845,-0.868810633,0,J.Hurts,NA,D.Smith,PHI,2,1,7:16,(7:16) (Shotgun) 1-J.Hurts pass incomplete short right to 6-D.Smith.,5,436,3136,0.783638179,-0.017137349,0.630800128,pass,0.644769907,-64.4769907,0,10,right,0,-0.868810633,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 40,0,13
2,Punt,6,Punt,0,60,0,0,0,2025_13_CHI_PHI,465,PHI,CHI,0,1,0,J.Hurts,1.193592211,-1.542846239,0,J.Hurts,NA,NA,PHI,3,1,7:12,(7:12) (Shotgun) 1-J.Hurts pass incomplete short right.,5,432,3132,0.766500831,-0.022982061,0.605766714,pass,NA,NA,0,8,right,0,-1.542846239,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 40,0,13
2,Punt,6,Punt,0,60,0,0,0,2025_13_CHI_PHI,488,PHI,CHI,0,0,0,NA,-0.349254028,-0.126481937,0,NA,NA,NA,PHI,4,1,7:05,"(7:05) 10-B.Mann punts 38 yards to CHI 22, Center-57-C.Adomitis, fair catch by 12-D.Duvernay.",5,425,3125,0.74351877,-0.018058121,0.584366679,punt,NA,NA,0,NA,NA,0,-0.126481937,0,0,0,3,3,PHI 25,PHI 40,DOWNS,PUNT,2:37,5,Half1,0,PHI 40,0,13
