fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Field goal,1,First down,1,NA,NA,NA,NA,2025_06_CHI_WAS,1,WAS,CHI,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.705343544,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,WAS 35,NA,6
1,Field goal,1,First down,1,35,0,0,0,2025_06_CHI_WAS,40,WAS,CHI,0,0,0,NA,0.770222367,0.310390853,1,NA,NA,NA,CHI,NA,1,15:00,16-M.Gay kicks 61 yards from WAS 35 to CHI 4. 12-D.Duvernay to CHI 30 for 26 yards (34-A.Hamilton).,0,900,3600,0.705343544,-0.002895474,0.566792041,kickoff,NA,NA,0,NA,NA,0,0.310390853,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,26,WAS 35,0,6
1,Field goal,1,First down,1,70,0,0,0,2025_06_CHI_WAS,63,WAS,CHI,1,0,0,D.Swift,1.08061322,-0.347456302,0,NA,D.Swift,NA,CHI,1,1,14:55,(14:55) 4-D.Swift left tackle to CHI 32 for 2 yards (54-B.Wagner; 99-J.Kinlaw).,10,895,3595,0.70244807,0.009466201,0.566453755,run,NA,NA,0,NA,NA,2,-0.347456302,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,CHI 30,0,6
1,Field goal,1,First down,1,68,0,0,0,2025_06_CHI_WAS,85,WAS,CHI,0,1,1,C.Williams,0.733156917,1.183331359,1,C.Williams,NA,O.Zaccheaus,CHI,2,1,14:22,(14:22) (Shotgun) 18-C.Williams pass short middle to 14-O.Zaccheaus to CHI 42 for 10 yards (55-J.Martin).,8,862,3562,0.711914271,-0.032709599,0.578351527,pass,0.707752645,29.2247355,1,8,middle,10,1.183331359,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,CHI 32,0,6
1,Field goal,2,First down,1,58,0,0,0,2025_06_CHI_WAS,110,WAS,CHI,0,1,0,C.Williams,1.916488276,0.043799619,1,C.Williams,NA,L.Burden,CHI,1,1,13:43,(13:43) (Shotgun) 18-C.Williams pass short right to 10-L.Burden pushed ob at CHI 46 for 4 yards (23-T.Amos).,10,823,3523,0.679204673,0.009918451,0.5451006,pass,0.770710349,22.92896509,1,4,right,4,0.043799619,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,CHI 42,0,6
1,Field goal,2,First down,1,54,0,0,0,2025_06_CHI_WAS,140,WAS,CHI,1,0,1,D.Swift,1.960287896,0.827644453,1,NA,D.Swift,NA,CHI,2,1,13:10,(13:10) 4-D.Swift left tackle to WAS 47 for 7 yards (4-F.Luvu).,6,790,3490,0.689123124,-0.014036238,0.550539047,run,NA,NA,0,NA,NA,7,0.827644453,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,CHI 46,0,6
1,Field goal,3,First down,1,47,0,0,0,2025_06_CHI_WAS,162,WAS,CHI,0,1,1,C.Williams,2.787932348,0.793543605,1,C.Williams,NA,D.Swift,CHI,1,1,12:36,(12:36) (Shotgun) 18-C.Williams pass short right to 4-D.Swift to WAS 35 for 12 yards (54-B.Wagner).,10,756,3456,0.675086886,-0.044209361,0.519882113,pass,0.864251018,13.57489824,1,-6,right,12,0.793543605,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,WAS 47,0,6
1,Field goal,4,Field goal,0,35,0,0,0,2025_06_CHI_WAS,187,WAS,CHI,1,0,0,K.Monangai,3.581475953,0.270576133,1,NA,K.Monangai,NA,CHI,1,1,12:02,(12:02) 25-K.Monangai right tackle to WAS 29 for 6 yards (92-D.Armstrong).,10,722,3422,0.630877525,-0.003818512,0.46958822,run,NA,NA,0,NA,NA,6,0.270576133,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,WAS 35,0,6
1,Field goal,4,Field goal,0,29,0,0,0,2025_06_CHI_WAS,209,WAS,CHI,1,0,0,D.Swift,3.852052085,-0.689908699,0,NA,D.Swift,NA,CHI,2,1,11:28,(11:28) (Shotgun) 4-D.Swift right tackle to WAS 29 for no gain (95-J.Newton).,4,688,3388,0.627059013,0.002178043,0.465937257,run,NA,NA,0,NA,NA,0,-0.689908699,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,WAS 29,0,6
1,Field goal,4,Field goal,0,29,0,0,0,2025_06_CHI_WAS,231,WAS,CHI,0,1,0,C.Williams,3.162143386,-1.446896303,0,C.Williams,NA,D.Moore,CHI,3,1,10:48,(10:48) (Shotgun) 18-C.Williams pass incomplete short left to 2-D.Moore.,4,648,3348,0.629237056,0.031612039,0.489867508,pass,0.54145354,-54.14535403,0,12,left,0,-1.446896303,0,0,0,3,3,CHI 30,WAS 29,KICKOFF,FIELD_GOAL,4:19,9,Half1,0,WAS 29,0,6
