fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Turnover on downs,1,First down,1,NA,NA,NA,NA,2025_16_GB_CHI,1,CHI,GB,0,0,0,NA,0.770222367,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.518480211,0,0.566792041,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,CHI 35,NA,16
1,Turnover on downs,1,First down,1,35,0,0,0,2025_16_GB_CHI,40,CHI,GB,0,0,0,NA,0.770222367,1.560440823,1,NA,NA,NA,GB,NA,1,15:00,"8-C.Santos kicks 62 yards from CHI 35 to GB 3. 16-B.Melton to GB 32 for 29 yards (36-J.Owens; 22-E.Hicks). PENALTY on CHI-48-D.Jackson, Unnecessary Roughness, 15 yards, enforced at GB 32.",0,900,3600,0.518480211,-0.026526839,0.566792041,kickoff,NA,NA,0,NA,NA,0,1.560440823,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,29,CHI 35,1,16
1,Turnover on downs,1,First down,1,53,0,0,0,2025_16_GB_CHI,74,CHI,GB,1,0,0,J.Jacobs,2.33066319,-0.48626125,0,NA,J.Jacobs,NA,GB,1,1,14:51,(14:51) 70-D.Kinnard reported in as eligible. 8-J.Jacobs right end to GB 49 for 2 yards (1-J.Johnson).,10,891,3591,0.491953373,0.014755547,0.53757295,run,NA,NA,0,NA,NA,2,-0.48626125,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,GB 47,0,16
1,Turnover on downs,1,First down,1,51,0,0,0,2025_16_GB_CHI,98,CHI,GB,0,1,0,J.Love,1.84440194,0.643103573,1,J.Love,NA,L.Musgrave,GB,2,1,14:13,(14:13) (Shotgun) 10-J.Love pass short left to 88-L.Musgrave to CHI 44 for 7 yards (26-N.Wright; 9-J.Brisker).,8,853,3553,0.50670892,-0.016521692,0.53815344,pass,0.708571911,29.14280891,1,7,left,7,0.643103573,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,GB 49,0,16
1,Turnover on downs,1,First down,1,44,0,0,0,2025_16_GB_CHI,123,CHI,GB,0,1,1,J.Love,2.487505513,1.531493854,1,J.Love,NA,R.Doubs,GB,3,1,13:20,"(13:20) 70-D.Kinnard reported in as eligible. 10-J.Love pass incomplete short right to 87-R.Doubs (35-C.Gardner-Johnson). PENALTY on CHI-94-A.Booker, Roughing the Passer, 15 yards, enforced at CHI 44 - No Play. Penalty on CHI-35-C.Gardner-Johnson, Defensive Holding, declined.",1,800,3500,0.490187228,-0.063118815,0.544485122,no_play,NA,NA,0,NA,NA,0,1.531493854,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 44,1,16
1,Turnover on downs,2,First down,1,29,0,0,0,2025_16_GB_CHI,159,CHI,GB,1,0,0,J.Jacobs,4.018999367,-0.380079489,0,NA,J.Jacobs,NA,GB,1,1,13:14,(13:14) 70-D.Kinnard reported in as eligible. 8-J.Jacobs left guard to CHI 28 for 1 yard (94-A.Booker; 50-G.Jarrett).,10,794,3494,0.427068412,0.030116379,0.454122245,run,NA,NA,0,NA,NA,1,-0.380079489,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 29,0,16
1,Turnover on downs,2,First down,1,28,0,0,0,2025_16_GB_CHI,181,CHI,GB,0,1,0,J.Love,3.638919879,-0.63375157,0,J.Love,NA,M.Golden,GB,2,1,12:33,(12:33) (Shotgun) 10-J.Love pass incomplete short left to 0-M.Golden (50-G.Jarrett).,9,753,3453,0.457184792,0.024708927,0.469588816,pass,0.86559552,-86.55955195,0,-3,left,0,-0.63375157,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 28,0,16
1,Turnover on downs,2,First down,1,28,0,0,0,2025_16_GB_CHI,204,CHI,GB,0,1,1,J.Love,3.005168309,1.803657529,1,J.Love,NA,R.Doubs,GB,3,1,12:30,(12:30) (Shotgun) 10-J.Love pass short right to 87-R.Doubs ran ob at CHI 16 for 12 yards (1-J.Johnson).,9,750,3450,0.481893718,-0.061522484,0.502231419,pass,0.552390397,44.76096034,1,10,right,12,1.803657529,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 28,0,16
1,Turnover on downs,3,Turnover on downs,0,16,0,0,0,2025_16_GB_CHI,234,CHI,GB,1,0,0,M.Golden,4.808825838,-0.430524974,0,NA,M.Golden,NA,GB,1,1,11:55,(11:55) 0-M.Golden left end pushed ob at CHI 15 for 1 yard (26-N.Wright).,10,715,3415,0.420371234,0.019726038,0.439922094,run,NA,NA,0,NA,NA,1,-0.430524974,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 16,0,16
1,Turnover on downs,3,Turnover on downs,0,15,0,0,0,2025_16_GB_CHI,261,CHI,GB,1,0,0,J.Jacobs,4.378300863,-0.52618762,0,NA,J.Jacobs,NA,GB,2,1,11:14,(11:14) 8-J.Jacobs left tackle to CHI 13 for 2 yards (26-N.Wright; 90-D.Robinson).,9,674,3374,0.440097272,0.01382637,0.455308378,run,NA,NA,0,NA,NA,2,-0.52618762,0,0,0,3,3,GB 47,CHI 7,KICKOFF,DOWNS,5:13,9,Half1,0,CHI 15,0,16
