fixed_drive,fixed_drive_result,series,series_result,series_success,yardline_100,touchdown,fumble_lost,interception,game_id,play_id,home_team,away_team,rush,pass,fd,name,ep,epa,success,passer_player_name,rusher_player_name,receiver_player_name,posteam,down,qtr,time,desc,ydstogo,quarter_seconds_remaining,game_seconds_remaining,vegas_home_wp,vegas_home_wpa,home_wp,play_type,cp,cpoe,complete_pass,air_yards,pass_location,yards_gained,qb_epa,total_home_score,total_away_score,score_differential,posteam_timeouts_remaining,defteam_timeouts_remaining,drive_start_yard_line,drive_end_yard_line,drive_start_transition,drive_end_transition,drive_time_of_possession,drive_play_count,game_half,return_yards,yrdln,penalty,week
1,Turnover on downs,1,First down,1,NA,NA,NA,NA,2025_10_NYG_CHI,1,CHI,NYG,0,0,0,NA,1.474097768,0,0,NA,NA,NA,NA,NA,1,15:00,GAME,0,900,3600,0.649934232,0,0.546261787,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half1,NA,NYG 35,NA,10
1,Turnover on downs,1,First down,1,35,0,0,0,2025_10_NYG_CHI,39,CHI,NYG,0,0,0,NA,1.474097768,0.92618601,1,NA,NA,NA,CHI,NA,1,15:00,"12-J.Gillan kicks 64 yards from NYG 35 to CHI 1, out of bounds. PENALTY on NYG-12-J.Gillan, Kickoff Out of Bounds, placed at CHI 40.",0,900,3600,0.649934232,0.026351631,0.546261787,kickoff,NA,NA,0,NA,NA,0,0.92618601,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,NYG 35,1,10
1,Turnover on downs,1,First down,1,60,0,0,0,2025_10_NYG_CHI,69,CHI,NYG,0,1,0,C.Williams,2.400283778,0.845702622,1,C.Williams,NA,R.Odunze,CHI,1,1,15:00,(15:00) (Shotgun) 18-C.Williams pass short right to 15-R.Odunze to CHI 49 for 9 yards (2-D.Banks).,10,900,3600,0.676285863,0.019621909,0.572573364,pass,0.719965518,28.00344825,1,7,right,9,0.845702622,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,CHI 40,0,10
1,Turnover on downs,1,First down,1,51,0,0,0,2025_10_NYG_CHI,99,CHI,NYG,0,1,1,C.Williams,3.2459864,0.685399763,1,C.Williams,NA,L.Burden,CHI,2,1,14:22,(14:22) 18-C.Williams pass short middle to 10-L.Burden to NYG 36 for 15 yards (2-D.Banks; 58-B.Okereke).,1,862,3562,0.695907772,0.028466582,0.598923206,pass,0.745736241,25.42637587,1,12,middle,15,0.685399763,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,CHI 49,0,10
1,Turnover on downs,2,Turnover on downs,0,36,0,0,0,2025_10_NYG_CHI,129,CHI,NYG,0,1,0,C.Williams,3.931386163,-0.51847541,0,C.Williams,NA,D.Moore,CHI,1,1,13:44,(13:44) (Shotgun) 18-C.Williams pass incomplete short left to 2-D.Moore (0-B.Burns).,10,824,3524,0.724374354,-0.014267623,0.632375717,pass,0.875951409,-87.59514093,0,-4,left,0,-0.51847541,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,NYG 36,0,10
1,Turnover on downs,2,Turnover on downs,0,36,0,0,0,2025_10_NYG_CHI,152,CHI,NYG,1,0,0,D.Swift,3.412910754,-0.369893985,0,NA,D.Swift,NA,CHI,2,1,13:40,(13:40) (Shotgun) 4-D.Swift up the middle to NYG 33 for 3 yards (95-R.Robertson-Harris; 5-K.Thibodeaux).,10,820,3520,0.71010673,-0.024206281,0.617792428,run,NA,NA,0,NA,NA,3,-0.369893985,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,NYG 36,0,10
1,Turnover on downs,2,Turnover on downs,0,33,0,0,0,2025_10_NYG_CHI,174,CHI,NYG,0,1,0,C.Williams,3.043016769,-1.347917542,0,C.Williams,NA,D.Swift,CHI,3,1,13:03,(13:03) (Shotgun) 18-C.Williams pass short middle to 4-D.Swift to NYG 30 for 3 yards (27-T.Nubin).,7,783,3483,0.68590045,-0.013005435,0.585558593,pass,0.808104753,19.18952465,1,-4,middle,3,-1.347917542,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,NYG 33,0,10
1,Turnover on downs,2,Turnover on downs,0,30,0,0,0,2025_10_NYG_CHI,199,CHI,NYG,0,1,0,C.Williams,1.695099227,-2.914933158,0,C.Williams,NA,D.Moore,CHI,4,1,12:21,(12:21) (Shotgun) 18-C.Williams pass incomplete deep right to 2-D.Moore.,4,741,3441,0.672895014,-0.081680387,0.553495646,pass,0.242298424,-24.22984242,0,30,right,0,-2.914933158,0,0,0,3,3,CHI 40,NYG 30,KICKOFF,DOWNS,2:47,6,Half1,0,NYG 30,0,10
2,Turnover on downs,3,First down,1,69,0,0,0,2025_10_NYG_CHI,222,CHI,NYG,1,0,0,T.Tracy,1.21983393,-0.7942219,0,NA,T.Tracy,NA,NYG,1,1,12:13,(12:13) 29-T.Tracy right tackle to NYG 30 for -1 yards (97-A.Billings).,10,733,3433,0.591214627,0.019322217,0.499176323,run,NA,NA,0,NA,NA,-1,-0.7942219,0,0,0,3,3,NYG 31,CHI 49,DOWNS,DOWNS,2:51,6,Half1,0,NYG 31,0,10
2,Turnover on downs,3,First down,1,70,0,0,0,2025_10_NYG_CHI,251,CHI,NYG,0,1,1,J.Dart,0.425612031,1.636388545,1,J.Dart,NA,T.Johnson,NYG,2,1,11:40,"(11:40) (Shotgun) 6-J.Dart pass short right to 84-T.Johnson pushed ob at NYG 43 for 13 yards (35-C.Gardner-Johnson). Penalty on CHI-35-C.Gardner-Johnson, Illegal Contact, declined. Penalty on CHI-29-T.Stevenson, Illegal Use of Hands, declined.",11,700,3400,0.610536844,-0.041193306,0.516637027,pass,0.63300854,36.69914603,1,12,right,13,1.636388545,0,0,0,3,3,NYG 31,CHI 49,DOWNS,DOWNS,2:51,6,Half1,0,NYG 30,0,10
